Name,Type
Albariño ,White
Altesse ,White
Ansonica ,White
Arany sárfehér ,White
Arinto ,White
Arrufiac ,White
Assyrtiko ,White
Aubin ,White
Baiyu ,White
Banat Riesling ,White
Biancame ,White
Bical ,White
Bual ,White
Burger ,White
Cayetana ,White
Chasselas ,White
Chenin blanc ,White
Claret de Gers ,White
Coda di Volpe ,White
Crato ,White
Courbu ,White
Crouchen ,White
Faber ,White
False Pedro ,White
Fernao Pires ,White
Fetească albă ,White
Fié ,White
Folle blanche ,White
Freisamer ,White
Furmint ,White
Garganega ,White
Garnacha blanca ,White
Gewürztraminer ,White
Graisse ,White
Grenache blanc ,White
Grillo ,White
Grasa ,White
Gros Manseng ,White
Huxelrebe ,White
Irsai Oliver ,White
Keknyelu ,White
Knipperle ,White
Len de l'El ,White
Macabeo ,White
Malagousia ,White
Maria Gomes ,White
Melon de Bourgogne,White
Merseguera ,White
Moschofilero ,White
Müller-Thurgau ,White
Muscat ,White
Muscat of Alexandria,White
Muscat Blanc à Petits Grains ,White
Palomino ,White
Pampanuto ,White
Pardillo ,White
Pecorino ,White
Pedro Ximénez,White
Petit Manseng ,White
Picardin ,White
Picolit ,White
Picpoul ,White
Pinot blanc ,White
Pinot gris ,White
Plavai ,White
Prié blanc ,White
Prosecco ,White
Rauschling ,White
Ribolla Gialla ,White
Riesling ,White
Roditis ,White
Roupeiro ,White
Sacy ,White
Sarfeher ,White
Sauvignon blanc ,White
Sauvignon vert ,White
Savagnin ,White
Sercial ,White
Sereksia ,White
Silvaner ,White
Tamarêz ,White
Tamîioasa ,White
Torrontés ,White
Tourbat ,White
Trebbiano ,White
Treixadura ,White
Trousseau gris ,White
Verdelho ,White
Verdiso ,White
Vermentino ,White
Welschriesling ,White
Xarel·lo ,White
Zéta ,White
Zierfandler ,White
Aidini ,White
Alvarinho ,White
Arrufiat ,White
Calagraño,White
Fendant ,White
Pineau de la Loire ,White
Xuri Zerratua ,White
Clare Riesling ,White
Pedro Luis ,White
Fetiaska ,White
Fiét ,White
Gros Plant ,White
Mosler ,White
Grecanico ,White
Tramini ,White
Riddu ,White
Irsay Oliver ,White
Len de l'Elh ,White
Macabeu ,White
Verdil ,White
Moscato ,White
Moscatell ,White
Muscat Frontignan ,White
Listan ,White
PX ,White
Picardan ,White
Piccolit ,White
Piquepoul blanc ,White
Pinot bianco ,White
Pinot grigio ,White
Johannisberg Riesling ,White
Sauvignonasse ,White
Savagnin blanc ,White
Cerceal ,White
Sylvaner ,White
Tamares ,White
Tămâioasă Românească ,White
Torontel ,White
Gouveio ,White
Riesling Italico ,White
Xarello,White
Orémus,White
Spätrot,White
Aedani,White
Cainho branco,White
Ruffiac,White
Steen,White
Bordelesa Zuri,White
Cape Riesling,White
Cañocazo,White
Leànyka,White
Fié gris,White
Piquepoult,White
Sipon,White
Grecanio,White
Traminac,White
Rossese bianco,White
Irsai Olivér,White
Loin-de-l'oeil,White
Verdosilla,White
Misket,White
"Moscatelde Málaga, de Setúbal",White
Perrum,White
Alamís,White
Aragnan blanc,White
Piccolito,White
Piquepoul gris,White
Traminer,White
Österreicher,White
Crato branco,White
Tamianka,White
Moscatel de Austria,White
